|text|tensor|score
315|О каких книгах вы говорите?? Нет у него такой книги насколько мне известно, потому что у меня они есть все и я специально проверил не пропустил ли. Он здесь сценарий писал, так что это совсем не экранизация романа Стивена Кинга, как Буря Столетия, Куджо, Кристина, Долорес Клейборн, Мизери и так далее. Здесь ему заплатили - он написал, и написал должен сказать плохо, потому что получилась чушь. Во-первых, совершенно не страшная, а во-вторых, с каким то не совсем понятным сюжетом. В общем, что к чему в этом фильме я не понял.|"[ -9.209574   -8.88683    -7.6227574 ... -10.715441  -10.727711
 -10.721964 ]"|1
316|Фильм - ето полный бред, откровенный такой и ничем не прикрытый. Я его пытался досмотреть пять раз и не смог.|"[ -9.357215   -8.502601   -9.568312  ... -10.655387  -10.666459
 -10.6612215]"|1
317|книга интереснее на порядок, а фильм - просто поверхностный видеоряд с кучей спецэффектов и без особого смысла. сильно разочарована, ожидала большего(((|[-13.123198 -11.860453 -11.799852 ... -13.356855 -13.38579  -13.372151]|1
318|такое Ховно я давно не смотрел! потом даже противно вообще думать о русском кино! отвратительно!|"[ -9.031186   -9.375039   -8.403186  ... -10.623844  -10.638934
 -10.6318445]"|1
319|"Слушайте, вы тут рассуждаете как хорош фильм, как он красив и тому подобное... Вы роман то сам, читали? Фильм ему в подметки не годится. От романа тут осталась только сама идея того, что на земле остался последний человек, у которого есть только собака, да и та сдохла в конце концов, по его же вине!!!! Все остальное совершенно переиначено. Во-первых, последним человеком оказался негр, во-вторых, психологии тут настолько мало, что на его переодические разговоры с манекенами смотреть тошно, ну и в-третьих, не совсем понятно в честь чего его легендой обозвали. Вот роман - это вещь. Все понятно, и в конце немного пробирает, когда он смотрит из окна на кучку наполовину излечившихся вампиров, говорит свою заключительную фразу ""Я - легенда"" и отворачивается, чтобы выпить яд. Вот это ДА!!!!!! Вот это круто!!!! А фильм - чушь."|[-8.291415  -9.063927  -7.6574183 ... -9.296817  -9.29749   -9.297185 ]|1
320|"Зря была сделана такая дурацкая экранизация такой хорошей игры, очень зря. Ладно, когда ты сидишь и играешь парнем со штампом на башке, но, когда показывают похождения такого ""кадра"", то выглядит это довольно курьезно. Без смеха не могу я смотреть это фильм."|[ -9.296192  -9.994696  -9.609088 ... -11.270526 -11.285267 -11.278355]|1
321|Какая же чушь... Иронию судьбы я смотрел много раз (каждый новый год ибо больше по телевизору ничего приличного не показывают) и считаю его отличным!!! Но зачем портить фильм какими то идиотскими продолжениями? Ну зачем???? Для чего??? С какой целью???? Не понимаю я этих людей!!!!!!!!! Не понимаю!!!|[-7.732275  -9.2210455 -8.84507   ... -9.676945  -9.686125  -9.681837 ]|1
322|"Что ето вообще за чушь???!!!! Не фильм, а недоразумение полнейшее. Ужасы... Конечно, щаз же!!!!!!! Ничего подобного. Вообще, пора свыкнуться с мыслью, что нет больше нормальных фильмов ужасов. Наступила эра фантастики и фэнтези, сейчас правят бал спецэффекты. В фильмы ужасов пихают одни спецэффекты бездумно и все тут считая, что УУУУУУУУУУУ, как страшно, просто жуть берет... А вот нет, ждешь, ждешь с мыслями типа ""ну давайте, давайте, напугайте же меня"", чувствуя, что, возможно у них это и впрямь получится и... все, в самый ответственный момент выскакивает компьютерный монстр и давай всех крошить."|"[ -8.852825  -10.053504   -6.9002504 ... -10.032974  -10.049112
 -10.0415325]"|1
323|ООООй бред.... хуже не бывает (1)|"[ -9.991775   -8.783933  -10.510873  ... -11.791665  -11.8167925
 -11.804984 ]"|1
324|"Ненавижу ""Мистера Бина"", мне в жизни таких хватает...."|"[ -9.3986635  -9.348239   -9.879994  ... -11.297793  -11.313568
 -11.306177 ]"|1
325|Всему должен прийти конец...... и Полицейской Академии.... как там... один раз- смешно, второй - не интересно, третий - глупо..... СЕДЬМОЙ??? - клиника. хуже не бывает (1)|[ -9.611925 -10.270211  -9.870932 ... -11.252138 -11.264105 -11.25849 ]|1
326|Посмотрела после унесенных призраками была разочарована.Такой мультфильм детям смотреть нельзя, а взрослые просто потеряют время зря.Темных красок в жизни достаточно а в мультиках хочется позитива.|[-12.80492  -11.235242 -11.50269  ... -11.783991 -11.806426 -11.795868]|1
327|Неоправданная жестокость. Гибсон словно смаковал каждую секунду боли Христа. Не понравилось.|[-11.665467  -8.660174  -8.853213 ... -10.212669 -10.226902 -10.220184]|1
328|"«Монстро» (англ. Cloverfield) — американский научно-фантастический триллер/боевик от режиссёра Мэтта Ривса и продюсера Дж. Дж. Абрамса. Фильм вышел на экран в США 18 января 2008. Paramount Pictures проводила вирусный маркетинг чтобы вызвать интерес к фильму. В России локализатор фильма компания «UIP» дала ему название «Монстро». Премьера в России состоялась 17 января 2008 года. Фильм стилизован под видеосъёмку любительской видеокамерой. Псевдодокументальность является художественным приёмом авторов фильма, рассказывающего о попытках друзей пережить самое нереальное и страшное событие в их жизни, запечатлённое на видеокамеру. Фильм испещрён рекламой, да ещё эта некудышно прорисованная тварь из которой постоянно сыплются непонятные экскременты разбегающиеся потом во всевозможных направлениях, от чего та злится все больше и начинает рушить и кусаться. Все это исскустным образом дополняет банальный сюжет ""принц спасающий принцесу"", а с ним и его верная свита - пардон сейчас же 21 век, но как бы там ни было сценаристу было, судя по всему, плевать на эту неувязочку."|[-9.920786  -9.946081  -7.9365826 ... -9.1909    -9.193265  -9.192137 ]|1
329|Отстойнейший фильм, пока смотрел исплевался, еле досмотрел.|[-3.174535  -5.9024315 -2.6617131 ... -4.575501  -4.5585127 -4.566491 ]|1
330|"Юмор в фильме - подряд штампы с российских ""блокбастеров"". Настолько плох, что я от шока посмотрела его полностью :)"|[-8.056176  -6.5881934 -6.481935  ... -8.882254  -8.889458  -8.886078 ]|1
331|Не мы такие - жизнь такая гимн современной тупости . Режиссер, конечно сделал очень коммерческую вещь. Масса подростков получило карт-бланш на оправдание своей подлости. Пособие для великовозрастных сопляков снять с себя всю ответственность за свою жизнь и свои действия. А не замысловатый слезливый саундтрек доводит все до абсурда, романтизируя убийц.|[ -9.175697  -8.604536  -8.679308 ... -10.295888 -10.304417 -10.300438]|1
332|"Фильм поражает тупостью и религиозностью. Помимо всяких мелких промахов - кто поставил маникен, почему главный герой почти сутки бегает с ножом в заднице, как он не помер вися несколько часов вниз головой и как смог перерезать металлический канат, и почему он так болезнено отреагировал на ранение ножом, а вот падение с разных высот (начиная с 2х метров и кончая 3 этажом) не приносит ему никаких повреждений и т.п., в глаза бросается явная потуга авторов продублировать успех ""28 дней спустя"", к сожалению, абсолютно провалившаяся. Удивительно, такой бюджет и такой полный провал! И вроде бы актеры неплохие, а играют никак, и картинка по идеи должна быть красивой, но не цепляет, не говоря уже про сюжет...... Одним словом - потуга..."|[ -9.770127  -9.68814   -8.813727 ... -10.824691 -10.838183 -10.831852]|1
333|Очередной фильм который доказывает на собственном примере, что заменять оригинальную идею, которой мог бы проникнуться, до мозга костей, актер, а также гений операторской работы, на бюджет, пусть и составляющий 140 000 000$ - дело не благодарное, не с точки зрения маркетинга, не с точки зрения киноискусства.|[-9.086301  -9.179044  -6.6172986 ... -8.599325  -8.602817  -8.601153 ]|1
334|Самый ужасный фильм... Столько примитива и групости собранной в одном фильме я давно не встречала. Хотя... Сосед по креслу находящийся в состояние алкогольного ( или еще какого то) опьянения - был в полном восторге). Возможно перед просмотором фильма кинотеатру слодовало наливать зрителям грам по 200 крепких алкагольных напитков, для лучшего усвоения материяла?)|[ -8.277183 -10.264659  -8.596002 ...  -9.470228  -9.48315   -9.477066]|1
335|настолько топорный _фильм_, что вытерпел лишь полчаса.|"[-10.337203   -7.8572726  -7.0206532 ... -10.045841  -10.05606
 -10.051233 ]"|1
336|"Я в экранизаиях прежде всего ценю верность историческим обстоятельствам, описанным в книге. Здесь этой верности нет и близко, в результате, когда смотришь, утрачиваешь чувство правдивости повествования и только раздражаешься от непроходимой глупости режиссера и прочей команды, посчитавших зрителей тупыми идиотами. Подробностей уже не помню, потому что смотрела фильм давно, а еще раз смотреть - это только а отдельную плату, пожалуйста! но вот хоть некоторые из них: Действие происходит в конце XVIII века, а одежду дамы носят середины XIX. Это где же в те времена было видано, чтобы девушка вышла на улицу без шляпки?! Да к тому же еще и простоволосая??? Это дворянка-то, хоть и не принадлежащая к аристократии? А Элизабет Беннет сплошь и рядом выходит на люди в таком, по тогдашним понятиям, неприемлемом виде. Она не до такой степени была бунтаркой! А замужняя дама, не носящая чепец даже дома, а уж тем более при посторонних - в те времена была бы просто вызовом общественному мнению. Тем не менее Шарлотта именно так и ходит. Уже не говоря о прогуливающихся по господскому, отнюдь не заднему двору свиньях и прочих утках-гусях. И вообще этот двор выглядит как скотный двор в российской глубинке, а не в дворянском поместье в Англии. Режиссер и художник пренебрегает такими ""несущественными мелочами"". Ради чего? Ну, наверно, чтобы ""ярче высветить внутреннюю жизнь героев"" или еще какая-нибудь такая же чушь в высоком стиле. Да и из этого ничего не вышло. Кромуе Сазерленда, в фильме нет ни одной хорошей актерской работы. Кира Найтли - она и понятия не имела, кого она, собственно, играет, да если б и имела, это ничего бы не изменило, поскольку она вообще бездарь, каких поискать. Дарси - этакий байроновский ""сумрачный гений"" - непонятный, самовлюбленный индюк, воображающий о себе, что он таинственен и загадочен, а на самом деле - пустышка и фанфарон. Остальные персонажи вообще не оставили по себе и такого воспоминания. Словом, фильм не стоит даже той пленки, на которой снят. ИМХО."|"[ -7.7996607  -9.938973   -9.919905  ... -10.70871   -10.712635
 -10.71079  ]"|1
337|"Фильм - альтернативная история, в смысле: Такого никогда не было, просто нам, команде постановщиков, стукнуло в голову нафантазировать глупостей о жизни Октавиана Августа, что мы с блеском и выполнили. А заодно насовать в ""исторический"" (правильно было бы назвать ""псевдоисторический"") фильм множестово деталей, свидетельствующих о нашей полной некомпетентности в предмете. Похоже, в школе все уроки истории прогуляли. Профанация, каких мало."|[-7.5688004 -7.072778  -6.252252  ... -8.711522  -8.7195215 -8.715762 ]|1
338|"ФФУ!! Ужасно!! Притянуто!! Неестественно!! Отвратительно!! Наш ""мэтр российского кинематографа"" - редкостное говнище!! Лучше не смотрите, честное слово!...."|[-6.895015  -7.4539332 -4.42055   ... -6.4249487 -6.427878  -6.42652  ]|1
339|абсолютно не актуальная вещь, пошла только из-за рекламы. когда сидела в зале, несколько раз порывалась выйти... ужас! зачем снимать такую ерунду? не понимаю!|"[-10.932885   -9.5990925 -10.66121   ... -12.338138  -12.363015
 -12.35132  ]"|1
340|Меня хватило на 25 минут.....И это было ужасно, безвкусно, пошло..... И КВНШные рожи уже оскомину набили своим сортирным юморком.|[ -8.329317 -10.605116  -8.640293 ...  -9.122456  -9.136125  -9.129685]|1
341|"Мне категорически не понравилось. Действие серое и тягучее, множество второстепенного, совсем лишнего, в котором тонет главное. Назойливые попытки *выдавить слезу* там, где нужен всего один, но точный удар по нервам. Бесконечное тыкание носом, назойливое морализаторство. Благостная ложь в конце. Никакой Тихонов не спасает. Если хотите увидеть НАСТОЯЩУЮ, а не выдуманную историю собаки - посмотрите ""Хатико"". Любой из двух фильмов: японский ""История Хатико"" (Hachiko monogatan, 1987), или американский ""Хатико, самый верный друг"" (Hachiko: A Dog Story, 2009). А если решили показать ""Бима"" детям, то лучше пусть увидят ""Лэсси, вернись домой"" (Lassie Сome Home, 1943), или, значительно менее известный, но намного более трогательный ""Прощай, моя Леди"" (Good-bye, My Lady, 1956,, реж. Уилмен Чилмен). Оценка ""1"" , чтобы не ставить ""не рекомендовать"". Потому, что эту книгу нельзя было ТАК экранизировать, эффект получился прямо противоположный."|[-10.162037 -10.732997  -9.309136 ... -10.345217 -10.359924 -10.352976]|1
342|От фильма невыносимо воняет гнусной американской пропагандой. Но самое отвратительное, это когда в конце фильма показывают грузинские семьи, которые потеряли своих родных. Кто виноват в их смерти на самом деле? 1) Русские медведи 2) Абхазцы 3) Осетины 4) Американская демократия|[ -9.319286  -9.330227  -9.264413 ... -10.540961 -10.557549 -10.549781]|1
343|Ни о чем. Странно, что продюсеры не боятся выпускать такие сериалы, зная, что в рейтинге их заткнут проекты Дж. Дж. Абрамса. Хотя если вы смотрите сериалы не из-за смысла, не из-за драматургии и резких поворотов сюжета, то Белый Воротничок как раз для вас.|[-10.249139  -9.863172  -9.094024 ... -10.292364 -10.308631 -10.300999]|1
344|"В поиске фильма про зомби, наткнулась на этот. А т.к.не было ни одной рекомендации, на свой страх потерять1.5 часа жизни начала смотреть. Да, 1.5 часа потеряны. Фильм оказался редкостным говном! Сюжет фильма крутится не вокруг зомби. Авторы решили пойти другим путем. И действительно, зачем шаблонные пугалки? Они решили сделать ""интеллектуальный"" фильм с глубоким смыслом. Так, несколько чуваков весь фильм ведут утомительные диалоги, один из них проводит эксперименты над зомби, двое других ездят по городу в поисках этих зомби. Страшных моментов в фильме нет, музыкальное сопровождение напоминает трешевые фильмы конца 80х. Из новшеств для зомби-фильмов - сексуальная тетка-зомби, которую вроде бы как и хочется трахнуть, потому как на земле не осталось ни одной женской особи, но вот и не подойдешь к ней. А еще скрещивать живых и зомби для создания новой нации - это конечно верх идиотизма В общем любителям зомби не советую, остальным - по желанию. Мне будет интересно здесь увидеть хотя бы один положительный отзыв"|[ -9.409303  -9.850514 -10.098606 ... -10.886184 -10.901715 -10.894413]|1
345|бред без начала и конца старуха просто выбесила со своей кристал|"[ -8.353803  -10.184353   -6.7711444 ... -10.448188  -10.467479
 -10.458401 ]"|1
346|Шлак полнейший. Сценарий, актёры, режессура... Да, благодаря таким фильмам и бытует мнение, что отечественный кинематограф находится в состоянии кромешного ануса.|"[-11.371995  -10.006804   -7.8596997 ...  -9.152107   -9.15775
  -9.1551075]"|1
347|чушь|[ -8.426456  -8.021841 -10.234045 ...  -9.643112  -9.663208  -9.653677]|1
348|"Чушь невообразимая. Досмотрел до того момента, когда немецикий -! -солдат отвечает немецкому же офицеру ""сэр!"", а в следующей сцене опять-таки немецкий офицер КОЗЫРЯЕТ другому офицеру. Всё стало понятно, смотреть дальше не стал и фильм удалил."|[-9.431021  -7.1714067 -8.873893  ... -9.20647   -9.216937  -9.211986 ]|1
349|убожество|[-5.6665044 -3.5066037 -5.490772  ... -5.837976  -5.840345  -5.8392105]|1
350|Самые бездарно потраченные 250 рублей в моей жизни. Думала может быть Терк порадует (афроамериканец который в клинике снимался), но нет....|[ -9.201092 -10.960891  -9.974031 ... -11.719613 -11.738723 -11.72978 ]|1
351|Не красиво, не выразительно, не содержательно, не романтично, невозможно на это смотреть....|"[-12.901117  -12.040838   -9.294965  ... -12.141278  -12.164187
 -12.1533985]"|1
352|не смогла досмотреть(((|"[-12.981889   -9.1367235  -9.405037  ... -10.6723175 -10.692838
 -10.683144 ]"|1
353|"Какое счастье, что я не сходила на этот фильм в кинотеатр, сполна хватило и экранки. Посмотрела в одиночестве и слава богу, сберегла психику мужа. ""Фонтан"" и ""Древо жизни"", ""Древо жизни"" и ""Фонтан"", Малик и Аронофски...мдааа, режиссёры из одной оперы под названием ""психодел."" В который раз ругаю себя за то, что сажусь за просмотр подобных фильмов, но своё мнение надо иметь. Данное произведение киноискусства, если его вообще можно таковым назвать, не тронуло, напротив же, вызвало отвращение с первых минут. Ощущение было такое будто я снова окунулась в коньюскаци филиппа гласа...Я не вижу в этом фильме глубины, как видят некоторые, скорее избитые истины, которые известны всем и каждому... Если вам хочется посмотреть жизнеутверждающий фильм - посмотрите лучше хорошую драму, подчёркиваю без психологизма, дабы оставить мозг при себе..."|[-9.320589 -9.398428 -8.022414 ... -9.214711 -9.218972 -9.216952]|1
354|"Какое счастье, что я не сходила на этот фильм в кинотеатр, сполна хватило и экранки. Посмотрела в одиночестве и слава богу, сберегла психику мужа. ""Фонтан"" и ""Древо жизни"", ""Древо жизни"" и ""Фонтан"", Малик и Аронофски...мдааа, режиссёры из одной оперы под названием ""психодел."" В который раз ругаю себя за то, что сажусь за просмотр подобных фильмов, но своё мнение надо иметь. Данное произведение киноискусства, если его вообще можно таковым назвать, не тронуло, напротив же, вызвало отвращение с первых минут. Ощущение было такое будто я снова окунулась в коньюскаци филиппа гласа... Если вам хочется посмотреть жизнеутверждающий фильм - посмотрите лучше хорошую драму, подчёркиваю без психологизма, дабы оставить мозг при себе..."|[-9.508279 -9.218503 -7.743362 ... -9.074604 -9.078998 -9.076924]|1
355|"Это просто катастрофа!!!!!!! Смотреть на то, во что превратился один из моих любимых развлекательных фильмов, которым были первые ""пираты"" просто невозможно. Абсолютно бредовый сюжет, тупые диалоги и явно уставший от роли капитана Воробья Депп - вот все, что я увидел на экране. После просмотра этого ""шедевра"" стало абсолютно понятно, почему Депп отказался сниматься в следующих частях ""пиратов"". Еще недавно я думал, что испортить прекрасную кинотрилогию, хуже, чем это сделали с Индианой Джонсом, выпустив ""хрустальный череп"" нельзя. Теперь знаю - можно :( И да, еще, это ужасное 3D, которое этому фильму нужно, как корове седло...."|[ -9.456552  -9.702163  -8.51041  ... -10.293183 -10.308435 -10.301249]|1
356|"Отвратительная американская комедия про то, как парень поселился в доме с ОГРОМНЫМ количеством тараканов! А они ещё говорили человеческим голосом! А как они лазили по всему дому, по главному герою! Тьфу! В одной сцене таракан залез на героя и открыл ему глаз! Ужас! А концовка - это вообще полный ужас! Тот дом сожгли, герой сошёлся с любимой девушкой и поселился у неё. И угадайте, кто ещё там поселился? Правильно, ОНИ! И они сразу стали приводить дом в ""порядок"". Кошмар! В общем, ужасно грязный, тупой и бессмысленный фильм! P.S. Честно говоря, очень удивлена, что многим этот фильм нравится. Смешным его называют... Ну, я тоже в одном моменте улыбнулась, но в остальном это самая настоящая гадость!"|[-7.803154 -8.793566 -7.189227 ... -8.781009 -8.785434 -8.783351]|1
357|согласна с большинством отзывов. Фильм очень нудный и невнятный. ушли с половины. будь у меня мать как показано в фильме, я наверное была сумасшедшей)))))|"[-11.992785   -9.740743  -11.243138  ... -13.218358  -13.2339325
 -13.226648 ]"|1
358|"то-то я и в большое неудовольствие прочитал ""Артура"".. Теперь понимаю, почему стиль на Асприновский :((("|"[ -8.705257   -8.38545    -8.876916  ... -10.3873005 -10.404178
 -10.396241 ]"|2
359|Люблю оригинальную серию, а продолжение нудное и вялое сюжет прямо из пальца высасывали!|[-10.754216  -8.192539  -6.743336 ...  -8.976918  -8.991123  -8.984387]|2
360|За ночь прочитал ?Азазель? Акунина, вдохновившись замечательным фильмом ?Турецкий гамбит?. Слог и сюжет по началу понравились ? по крайней мере, необычно в наше время смотрится стилизация под романы конца девятнадцатого века. Правда описаний мало ? в основном действие, и время от времени размышления. Вообще довольно легкое чтение, не отягощенное ни философией, ни глубокими мыслями, ни шибко заковыристыми и душещипательными сюжетными коллизиями. Тем не менее читалось легко и с интересом. Показалось чем-то средним между антуражем Достоевского и приключениями незабвенного Шерлока Холмса. И все было бы хорошо, если бы не стало так хреново. Господа, такие концовки нужно уметь писать ? финал настолько бездарен, что просто оторопь берет, как ТАКОЕ покупают взрослые люди и не скрывая гордятся приобщением к такой культуре. Короче, концовка оказалась настолько банальной, что площе могут быть только американские комиксы про супергероев. Спятивший доктор, претендующая на мировое господство злодейка и среди всего этого безобразия новоиспеченный супермен и Джеймс Бонд в одном лице ? наш уважаемый ?молокосос? Эраст Фандорин! Что еще может быть попсовей и затертей? Да, ребята, это надо уметь настолько испоганить впечатление. Зато какие цены на книги! А ведь далеко не последний писатель, что самое обидное. Короче, я в растерянности. Читать продолжения не хочу.|[-7.5900416 -9.999751  -7.8648186 ... -9.304272  -9.305516  -9.30494  ]|2
361|Рассматривайте Акунина как переход от Донцовой к Пересу-Реверте. Если от Переса-Реверте продолжите движение дальше, то доберетесь до хорошей литературы.|[-6.3247204 -6.39627   -5.064681  ... -7.127072  -7.133299  -7.1304126]|2
362|после первых книг сериала автор сдал и написал откровенно слабую книгу почему-то, хочется сказать - халтура... :(|[-12.041859  -9.818257  -7.952991 ... -11.53492  -11.552231 -11.544099]|2
363|Автор пытается сказать читателям значительно больше, чем она понимает сама|[-9.272913  -6.208597  -7.661881  ... -7.2963777 -7.293636  -7.2948856]|2
364|"Три произведения ""Врата небес"", ""Вторжение"" и ""Дорога камней"" относятся к одной серии ""Хроники опустошенных земель"" (издательство ""АСТ""). Все три произведения читаются достаточно сложно из-за манеры изложения автором. Серия явно не окончена. Учитывая, что последнее произведение этой серии издано в 2001 г., можно предположить, что продолжение этой серии издано не будет."|[-8.145117 -8.607011 -7.939168 ... -8.752887 -8.759639 -8.756477]|2
365|Прочитал. Стиль легкий, но автор слишком наврал. Архимаг, проспавший 5000 лет слишком легко адаптиуется в общество. И пиво!!! Он говорит, что баночное современное пиво вкуснее лучшего натурального продукта 5000 давности. Слишком легко магом воспринята концепция современной экономики, религии, культуры. А летающий дом? Да он от одной подъемной силы развалится. По сути роман больше похож на комикс, а не на серьёзное произведение. Сказочка для детей 10-15 лет.|[-9.011756  -8.27085   -7.5890293 ... -9.249774  -9.254451  -9.252261 ]|2
366|Можно смотреть мой отзыв там, особой разницы между этими двумя книгами я не заметил.|"[ -9.114576   -9.204718   -8.2084055 ... -10.339053  -10.354881
 -10.347442 ]"|2
367|"На мой пристрастный взгляд, эта книга абсолютно никакая (как книга). Возможно это из-за особенностей перевода. Зачастую, при переводе богатый язык оригинала теряется, надеюсь - это именно такой случай. Однако, одно мне стало понятно -- почему эта книга столь популярна. Эта книга идеальный сценарий для фильма, так что я не сильно удивился тому, что по ней собираются снимать (или уже снимают) фильм. И так, что мне в ней не понравилось ,и почему она так популярна (понятно ИМХО): 1) Тайные общества - не верю я в них, а вот как идея они очень притягательны. 2) Вялые и невнятные персонажи (в кино их могут вытянуть актеры, для хорошей книги черезчур невнятны) 3) Загадки которые может решить и дите (потенциально), но автор не дает данных для их решения. Заметьте, для их решени не требуются профессорские знания, просто не хватает информации, автор выдает ее после того как она бы могла понадобиться. Тем самым он ставит читателя вровень с его героем, а герой - профессор. Это ж круто!!! Я!!! разбираюсь в вопросе не хуже специалиста ученого!!! 4) Action. Я люблю хороший боевичек. Правда. Тут же... ну притянут он за уши. 5) Отличные антогонисты. Штамп на штампе. Пробы ставить негде. Кстати, после прочтения ""Ангелов и Демонов"", было подмеченно много общего между этими произведениями: стиль раскручивания сюжета, общий уровень загадок (да, да там они тоже есть), такие же положительные персонажи, не менее штампованые враги, и абсолютно такой же выверт сюжета в конце. Создается ощущение, что автора вдохнавлял Индиана Джонс, только ЧИТАТЬ о его приключениях мне не нтересно. Зато чую фильм посмотрю с удовольстием =)"|[ -8.627196 -10.248539  -9.730865 ... -10.244388 -10.257991 -10.251562]|2
368|Нудная, скучная книжонка. Дочитал из принципа...|[-8.577605 -7.364841 -9.336505 ... -9.79447  -9.800989 -9.797909]|2
369|"Худшая книга из серии ""Забытые Королевства"""|[-6.1372514 -5.0129023 -4.2557383 ... -7.4187775 -7.4207735 -7.41982  ]|2
370|Читала такие его повести-рассказы: «Где леший живет», «Красные лошади», «Книжка про Гришку», «Цветок для Оли», «Черника», «Что у Сеньки было», «Лазоревый петух моего детства»... Они мне понравились сильно, очень глубокие чувства вызывают... Но это не детская проза. Саму «Дубравку» тоже читала, но мне не понравилось.|[-7.764945  -9.908624  -7.4934163 ... -9.377706  -9.389115  -9.383777 ]|2
371|"Ремесленник клепает соответствующую ему продукцию. Не больше и не меньше. С одной стороны, ""пипл хавает"", с другой стороны, автор ведь талант действительно имеет -- хотя бы на ранние произведения посмотреть или на рассказы... А ""Последний дозор"" -- это так, чтобы бабок подработать и издательству прибыль увеличить... Вот если бы автор больше смотрел не на прибыль, а действительно на свои тексты... Эх..."|[-8.413721  -8.507937  -7.9538455 ... -9.708858  -9.721004  -9.715316 ]|2
372|Дня через два забуду, о чем роман. В целом все красиво, но как-то уж слишком просто. Тем не менее, читается приятно.|[ -9.7887    -8.281515  -9.042746 ... -11.115426 -11.129692 -11.122996]|2
373|"Не лучший роман Абдуллаева. Хотя, и не худший. Слишком уж обыгранный сюжет, напоминающий и ""Восточный экспресс"" А. Кристи, и ""Тоннель призраков"" того же Абдуллаева, и еще пару подобных произведений от менее известных авторов."|"[-11.065256   -9.443829   -6.0900173 ...  -9.76609    -9.78136
  -9.774164 ]"|2
374|Книга для дамочек, парням с неуравновешенной психикой читать вредно|"[-10.0087385  -8.577443   -6.303806  ...  -9.802659   -9.814445
  -9.80888  ]"|2
375|Да, Гришковец уже стал чем-то вроде русского Хемингуэя. Неплохо, конечно, но лучше, друзья, читайте Довлатова!|"[ -8.166325   -9.639919   -8.619759  ... -10.064465  -10.076454
 -10.0708475]"|2
376|Не читала, а слушала. А после - смотрела фильм. Читать/смотреть стоит ради очень интересного ощущения процесса разгадки. То есть как детектив, книга состоялась.|[-10.47185   -7.846243  -9.111467 ... -10.532824 -10.545905 -10.539752]|2
377|может заинтересовать только с детективной точки зрения -все найчные обоснования - подстава|"[ -8.724952   -7.3044767  -7.789978  ... -10.265194  -10.274191
 -10.2699585]"|2
378|Я не понял, что автор хотел сказать в этой книге. Обьясните мне пожалуйста. Я не иронизирую|[ -9.171747  -8.34207   -8.830242 ... -10.691125 -10.706681 -10.699382]|2
379|По-женски все как-то или скорее для.|"[-10.166655  -11.544227  -11.385166  ... -13.112701  -13.1290045
 -13.121348 ]"|2
380|Книга ни о чем. Интересна будет только фанатам певицы Свиридовой.|[-7.4519014 -7.804838  -7.4982266 ... -9.180348  -9.194339  -9.1877365]|2
381|Честно вам скажу: я еле дочитал. Начало хорошее, задумка оригинальна, но где-то к середине книги, понимаешь, что дочитать не сможешь: уж слишком автор наворотил сюжет. Закрываешь книгу. Открываешь снова. Ибо интересно, как все это можно логично завершить. Уф. дочитал. А там еще и продолжение в четыре книги...|[-10.761601  -7.809481  -9.488297 ... -11.701131 -11.721047 -11.711684]|2
